Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ12,4389.146,5.412000000000001,8.022591894189508,5.767607333333407,9.297,1.854,8.003,2.0069999999999997,2.596,64.16199999999999,4.806,1.641,S1K3,,5.0,3.0
TZ12,4390.266,8.766,11.276075974067112,12.901553333333357,9.305,1.454,5.843999999999999,0.47,2.519,68.687,8.562000000000001,30.648000000000003,S1K3,,3.0,3.0
TZ12,4390.666,15.298,11.669064674917227,13.339968666666675,9.302,1.5219999999999998,6.476,0.9229999999999999,2.46,70.157,10.016,28.875999999999998,S1K3,,3.0,3.0
TZ12,4390.916,15.194,11.35338259066188,13.360900666666662,9.288,1.565,6.904,1.229,2.501,69.538,9.265,18.958,S1K3,,3.0,3.0
TZ12,4391.045999999999,14.954,11.623075364566516,14.102036000000005,9.304,1.54,6.855,1.218,2.521,70.507,8.406,12.92,S1K3,,5.0,3.0
TZ12,4391.6359999999995,8.166,8.898288665693702,7.844154666666689,9.25,1.785,7.979,1.6769999999999998,2.4930000000000003,65.688,7.4639999999999995,6.808,S1K3,,5.0,3.0
TZ12,4392.126,4.001,7.196446072760766,5.607990755555605,9.345,3.0669999999999997,10.072000000000001,2.85,2.496,64.298,12.084000000000001,3.307,S1K3,,5.0,3.0
TZ12,4393.476,4.285,9.137134791413901,9.144262619047627,9.185,1.61,8.189,1.635,2.6060000000000003,65.678,10.318,1.851,S1K3,,5.0,1.0
TZ12,4393.816,11.39,13.80200652763674,12.139345733333322,9.209,1.75,10.607999999999999,1.75,2.5810000000000004,76.725,18.645,2.827,S1K3,,5.0,1.0
TZ12,4393.936,11.116,13.041856976060979,11.363057280952399,9.251,1.716,10.492,1.695,2.541,75.89699999999999,17.705,3.26,S1K3,,5.0,1.0
TZ12,4394.085999999999,11.713,12.518537069845921,11.761578307936519,9.599,1.851,10.885,1.906,2.546,74.82,14.745999999999999,2.884,S1K3,,5.0,1.0
TZ12,4394.276,12.227,12.082917587343273,12.118950500000002,9.172,1.615,6.249,1.5519999999999998,2.533,73.735,11.255,3.343,S1K3,,5.0,1.0
TZ12,4394.456,8.969,8.941283791123633,8.943371253968268,9.164,1.432,5.807,1.389,2.5869999999999997,65.277,9.667,2.32,S1K3,,5.0,1.0
TZ12,4394.6720000000005,7.316,9.313947775503497,7.4850206666666175,9.182,1.599,6.343,1.2890000000000001,2.55,65.164,8.337,5.8660000000000005,S1K3,,5.0,1.0
TZ12,4394.686,7.711,9.328917556910664,7.657269333333263,9.185,1.626,6.665,1.2830000000000001,2.549,65.215,8.296,5.903,S1K3,,5.0,1.0
TZ12,4395.021,8.6,8.8999179954793,8.720960365079382,9.24,2.18,11.25,1.2409999999999999,2.5580000000000003,65.27600000000001,9.33,2.983,S1K3,,5.0,3.0
TZ12,4395.1720000000005,9.685,8.995352710058082,9.907682666666659,9.26,1.946,10.841,0.914,2.58,67.242,10.184,1.442,S1K3,,5.0,3.0
TZ12,4395.4220000000005,10.394,9.889989740059576,10.660922000000001,9.255,1.464,9.406,0.998,2.57,68.507,9.432,2.108,S1K3,,5.0,3.0
TZ12,4395.552,11.187999999999999,9.864659700434812,11.218367999999987,9.27,1.215,8.588,0.924,2.57,67.59899999999999,7.795,2.783,S1K3,,5.0,3.0
