DEPTH,GR,SP,CAL,DEN,AC,CN
4304.625,90.90299999999999,14.405999999999999,7.854615900254733,8.473775777777776,62.821999999999996,11.988
4304.75,98.988,13.779000000000002,8.605183411997062,8.366567688888898,65.458,14.937999999999999
4304.875,103.59700000000001,13.773,10.025686519857802,10.854672666666666,69.297,18.06
4305.0,106.21799999999999,13.878,10.78527867546158,11.487060666666666,71.35300000000001,21.033
4305.125,104.728,14.136,12.161165742160481,10.971696307936512,74.47399999999999,19.509
4305.25,102.649,14.618,12.775685558194802,10.932376614285717,75.693,17.299
4305.375,100.912,15.372,11.581399035011508,11.58591733333334,72.58800000000001,14.745
4305.5,98.794,16.323,10.122856365557794,10.442663333333334,68.793,12.98
4305.625,96.99,17.877,9.906547054630375,10.590205333333333,67.934,13.014000000000001
4305.75,94.369,19.66,10.003325764217022,11.012891333333329,67.721,12.468
4305.875,89.56700000000001,20.639,10.357083060405829,11.772326,68.002,12.982000000000001
4306.0,86.09200000000001,21.374000000000002,10.730355517863444,12.29944200000002,68.483,12.806
4306.125,81.58800000000001,22.03,11.280734801821671,11.955150666666693,69.298,12.634
4306.25,75.79899999999999,22.568,11.772958483717842,12.761434000000019,69.86399999999999,12.922
4306.375,72.126,23.024,11.883931811039382,12.897612666666685,69.729,13.107000000000001
4306.5,70.994,23.234,11.9951212448272,12.931703333333353,69.86399999999999,13.950999999999999
4306.625,72.71600000000001,23.197,12.141221236833935,12.869890000000012,70.382,14.515999999999998
4306.75,73.34,23.101,12.298375783423232,13.310068000000001,70.828,14.780999999999999
4306.875,72.806,23.076999999999998,12.40262620693105,13.40239666666665,71.029,14.277000000000001
4307.0,72.141,22.838,12.402411114931223,13.20060466666666,70.991,12.78
4307.125,73.165,22.302,12.072934357811127,12.875716000000011,70.359,11.897
4307.25,78.744,21.81,11.419381468615782,12.664457444444462,69.382,11.969000000000001
4307.375,84.26,21.307,10.927110168459555,12.217267333333366,68.786,12.357000000000001
4307.5,87.569,20.875,10.677511602614969,12.36823333333336,68.55199999999999,12.975999999999999
4307.625,87.735,20.674,10.668003591656747,12.417103333333362,68.567,13.388
