Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ127,4353.668,12.543,10.353400548668452,10.26030311111111,8.526,2.719,11.967,2.793,2.52,70.286,14.992,1.056,S1K3,5.0,5.0,
TZ127,4353.748,13.42,10.764022677284686,12.872804000000023,8.52,2.7460000000000004,11.495,2.7489999999999997,2.504,71.031,15.378,1.344,S1K3,5.0,5.0,
TZ127,4353.848,12.944,11.02095045957862,12.621319333333364,8.515,2.7689999999999997,11.071,2.682,2.496,71.381,15.648,1.6740000000000002,S1K3,5.0,5.0,
TZ127,4353.898,13.228,11.070060223313122,12.601622000000031,8.514,2.7760000000000002,10.907,2.65,2.495,71.36399999999999,15.722999999999999,1.8619999999999999,S1K3,5.0,5.0,
TZ127,4353.968,11.76,10.896247404017092,11.513036666666665,8.515,2.7689999999999997,10.812999999999999,2.623,2.503,70.811,15.682,1.7690000000000001,S1K3,5.0,5.0,
TZ127,4354.128,8.588,9.998933066207119,9.072535333333347,8.521,2.7089999999999996,10.658,2.614,2.542,68.76899999999999,15.085999999999999,1.242,S1K3,5.0,2.0,
TZ127,4354.238,6.311,9.293968996126862,7.433670666666721,8.522,2.6319999999999997,10.459000000000001,2.7110000000000003,2.571,67.554,14.323,0.917,S1K3,5.0,2.0,
TZ127,4354.348,6.827000000000001,8.59724269548912,6.75105733333335,8.519,2.524,10.254000000000001,2.903,2.594,66.414,13.454,0.701,S1K3,5.0,2.0,
TZ127,4354.407999999999,5.27,8.362721022238699,5.807391999999957,8.517000000000001,2.451,10.177999999999999,3.053,2.597,65.949,13.124,0.675,S1K3,5.0,2.0,
TZ127,4355.1179999999995,4.252,6.838515087891031,5.052665333333367,8.525,2.142,12.501,3.3310000000000004,2.615,62.125,10.838,0.49,S1K3,5.0,5.0,
TZ127,4355.198,6.646,6.756048936649176,6.274270166666715,8.529,2.197,14.285,2.799,2.613,62.783,10.571,0.42100000000000004,S1K3,5.0,5.0,
TZ127,4355.278,6.502999999999999,6.590483377755158,6.423615166666604,8.53,2.246,16.183,2.259,2.611,63.298,10.249,0.39299999999999996,S1K3,5.0,5.0,
TZ127,4355.358,6.667000000000001,6.390337857016421,6.687832666666702,8.529,2.282,17.842,1.781,2.611,63.583,9.852,0.377,S1K3,5.0,5.0,
TZ127,4355.407999999999,7.296,6.267741312589039,7.056123333333371,8.527999999999999,2.291,18.619,1.581,2.612,63.733000000000004,9.557,0.368,S1K3,2.0,5.0,
TZ127,4355.478,6.809,6.2588174428407015,6.55791133333325,8.527999999999999,2.218,18.081,1.557,2.615,63.82,9.312000000000001,0.369,S1K3,2.0,5.0,
TZ127,4355.968,6.502999999999999,7.738736508193767,7.0605033333332745,8.541,1.915,11.690999999999999,1.847,2.563,60.858000000000004,11.44,1.319,S1K3,2.0,5.0,
TZ127,4356.048,7.845,8.497682235462584,8.172711333333298,8.536,1.93,11.325,1.895,2.539,62.22,12.026,1.874,S1K3,2.0,5.0,
TZ127,4356.157999999999,10.285,9.607619707883751,9.789479333333341,8.536,1.959,10.770999999999999,1.993,2.515,64.82300000000001,12.752,2.622,S1K3,5.0,5.0,
TZ127,4356.298,12.054,10.785464450319571,11.942876000000007,8.543,2.0269999999999997,10.357000000000001,2.1790000000000003,2.501,68.058,13.644,3.023,S1K3,5.0,5.0,
TZ127,4356.388,13.088,11.25224031713274,13.136937999999981,8.547,2.074,10.357000000000001,2.271,2.5,69.57600000000001,14.147,2.9010000000000002,S1K3,5.0,5.0,
