Well,Thickiness,Por,K,Cal,Md,LLD,GR,AC,DEN,RMN,RMG,ILD,GRmax,GRmin,RMNmax,SPmax,DGR,Ceil,Middle,Floor,Vsh,SP,Min,Max,Ave
well4,0.74,15.48,0.63,9.1,0.044,11.3,77.3,269,,8.2,8.4,7.5,125,65,1.5,17,0.205,58.884939,46.884939,33.50238825,23.232,28.95264,23.232,46.884939,40.3611213
well4,0.82,16.53333333,3.736666667,8.15,0.0685,11.6,77.8,281,,8.6,9.61,9.25,125,65,1.5,17,0.213333333,59.424744,47.424744,33.95920533,59.55850667,28.95264,28.95264,59.55850667,48.00428613
well4,0.76,20.8,1.11,3.4,0.035,6.9,86.2,304.7,,5.2,5.21,7.48,125,65,1.5,17,0.353333333,70.656524,58.656524,44.90510533,47.77626,28.088,28.088,58.656524,53.4236188
well4,0.64,18.06666667,2.156666667,5.633333333,0.045333333,12.37,79.2,279.6,,7.45,7.45,6.97,125,65,1.5,17,0.236666667,61.01316067,49.01316067,35.35469033,65.54024,28.7056,28.7056,65.54024,50.28782047
well4,1.4,17.33333333,3.25,4.45,0.0685,8.41,88.43,285,,5.85,5.85,6.68,125,65,1.5,17,0.3905,74.32415594,62.32415594,48.84826808,61.35204444,27.53216,27.53216,62.32415594,58.65053405
well4,0.7,18.45,6.86,,,6.92,95.4,298,,6.26,6.26,5.399,125,65,1.5,17,0.506666667,87.64288267,75.64288267,63.97882133,51.36088,25.6176,25.6176,75.64288267,65.78395387
well4,0.8,20.08,3.548,4.666666667,0.078,9.31,82,293.8,,6,6,6.97,125,65,1.5,17,0.283333333,64.53025,52.53025,38.66025833,23.232,26.8528,23.232,52.53025,44.102855
well4,0.86,18.72,5,1.5,0.064,9.93,69.5,285.5,,7.85,7.85,8.26,125,65,1.5,17,0.075,52.337125,40.337125,29.20895625,41.08094222,27.4704,27.4704,41.08094222,39.19921594
well4,0.6,15.6,0.775,0.5,0.072,14.1,87,296,,4.81,4.81,7.17,125,65,1.5,17,0.366666667,71.93916667,59.93916667,46.26963333,45.86829333,26.8528,26.8528,59.93916667,53.81635533
well4,0.6,8,0.19,,,26.83,63.9,231,,15.1,15.1,10.21,125,65,1.5,17,0.01,50.383446,38.383446,29.058933,48.31402667,26.8528,26.8528,48.31402667,39.21649753
well4,0.88,21.6,7.711666667,0.566666667,0.068333333,12.1,75.9,263,,5.21,5.21,8.03,125,65,1.5,17,0.181666667,57.45044767,45.45044767,32.33969758,23.232,26.8528,23.232,45.45044767,39.14699337
well4,0.5,22.05,41.6,1.2,0.097,8.18,93.2,319,,3.85,3.85,6.68,125,65,1.5,17,0.47,83.135354,71.135354,58.743837,48.10383111,25.6176,25.6176,71.135354,61.97727402
well4,0.48,20.2,1.68,,,7.19,86.2,275,,6.41,6.43,5.91,125,65,1.5,17,0.353333333,70.656524,58.656524,44.90510533,41.71349333,25.6176,25.6176,58.656524,51.96402547
well4,0.3,17.9,0.22,,,6.49,100.96,289,,6.41,6.41,5.11,125,65,1.5,17,0.599333333,100.282983,88.28298296,79.09703401,23.232,25.6176,23.232,88.28298296,69.00624807
well2,0.38,18.04,2.038,,,9.63,95.3,296,,6.39,6.39,4.98,126,59,1.8,18,0.541791045,92.22346529,80.22346529,69.39083972,23.232,25.6176,23.232,80.22346529,63.36458571
well2,0.66,16.7,7.1825,,,7.301,92.3,287,,5.32,5.32,7.31,126,59,1.8,18,0.497014925,86.42921022,74.42921022,62.55974549,23.232,25.6176,23.232,74.42921022,59.30860716
well2,0.58,19.9667,35.5033,,,10.25,88.5,302,,7.38,7.38,7.89,126,59,1.8,18,0.440298507,79.68939597,67.68939597,54.81381499,23.232,25.6176,23.232,67.68939597,54.59073718
well2,0.72,16.3,6.605,,,16.96,70.6,274,,12.7,12.7,9.62,126,59,1.8,18,0.173134328,56.95421479,44.95421479,31.9573652,23.232,26.2352,23.232,44.95421479,38.73787035
well2,0.7,8.6,0.26,,,5.68,95.3,312.8,,5.74,5.74,5.06,126,59,1.8,18,0.541791045,92.22346529,80.22346529,69.39083972,23.232,25.6176,23.232,80.22346529,63.36458571
well2,0.3,22.9,132.19,,,7.49,101.6,293,,2.87,3.85,5.63,126,59,1.8,18,0.635820896,105.7508873,93.75088732,85.79220414,23.232,25,23.232,93.75088732,72.77202113
well2,0.62,26.22,289.874,,,22.7,66.4,318.7,,10,11.9,9.33,126,59,1.8,18,0.110447761,53.7734413,41.7734413,29.85168037,23.232,33.0288,23.232,41.7734413,37.19068891
well2,1.04,22.4857,31.5071,,,18.3,72.7,305.6,,11.9,12.1,12.7,126,59,1.8,18,0.204477612,58.85158233,46.85158233,33.47448071,23.232,31.176,23.232,46.85158233,40.56010763
well2,0.9,24.3833,124.685,,,19.4,60.1,325.9,,9.01,10.65,16.95,126,59,1.8,18,0.01641791,50.53718505,38.53718505,29.01451858,23.232,36.1168,23.232,38.53718505,35.23410954
well2,0.84,18.3667,30.9667,,,20.5,64.4,311.4,,10.5,10.5,16.4,126,59,1.8,18,0.080597015,52.54650924,40.54650924,29.28411967,23.232,34.264,23.232,40.54650924,36.45535647
well2,0.3,20.7,56.6,,,8.3,87.3,267,,5.49,5.49,5.89,126,59,1.8,18,0.42238806,77.70025389,65.70025389,52.57828637,23.232,25.6176,23.232,65.70025389,53.19833772
well2,0.64,19.6167,4.3767,,,10.3,88.3,294,,7.54,7.54,6.08,126,59,1.8,18,0.437313433,79.35323161,67.35323161,54.4342084,23.232,26.2352,23.232,67.35323161,54.41718213
well2,0.34,18.2,1.76,,,5.8,102.4,285,,5.3,5.3,4.6,126,59,1.8,18,0.647761194,107.6004504,95.60045043,88.07424219,23.232,26.2352,23.232,95.60045043,74.1902353
well2,1.6,19.3333,22.4867,,,7.8,88.5,280,,5.3,5.3,7.09,126,59,1.8,18,0.440298507,79.68939597,67.68939597,54.81381499,23.232,26.544,23.232,67.68939597,54.68337718
well2,1.12,23.275,56.295,,,14.1,77.2,310,,6.3,8.2,9.33,126,59,1.8,18,0.271641791,63.60651049,51.60651049,37.76768822,23.232,29.3232,23.232,51.60651049,43.70327734
