wellid,layer,tops,bottom,mid,salinaty,x,y,area,types,zone
TZ47,S,5007,5012,5009.5,58430,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58340,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59370,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59130,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,60670,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59670,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58360,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,18840,4382179.1,14659780.2,TZ47,NaHCO3,S1K3
TZ47,S,4978.5,4986,4982.25,6810,4382179.1,14659780.2,TZ47,NaSO4,S1K3
TZ47,S,4978.5,4968,4973.25,59450,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58180,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58580,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,57700,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58340,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58300,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,60200,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58470,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59220,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59660,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59700,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,5007,5012,5009.5,58480,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ50,S,4378.5,4401.5,4390,133600,4339731,14720685,TZ12,CaCl2,S1K3
TZ50,S,4378.5,4401.5,4390,102200,4339731,14720685,TZ12,CaCl2,S1K3
TZ58,S,4065.53,4108.98,4087.255,116300,4326552.7,14742637.5,TZ16,CaCl2,S1K1
TZ58,S,4065.53,4108.98,4087.255,116300,4326552.7,14742637.5,TZ16,CaCl2,S1K1
TZ58,S,4213.79,4247,4230.395,5112,4326552.7,14742637.5,TZ16,MgCl2,S1K1
TZ58,S,4065.53,4108.98,4087.255,116400,4326552.7,14742637.5,TZ16,CaCl2,S1K1
TZ58,S,4065.53,4108.98,4087.255,116100,4326552.7,14742637.5,TZ16,CaCl2,S1K1
TZ58,S,4065.53,4108.98,4087.255,116100,4326552.7,14742637.5,TZ16,CaCl2,S1K1
TZ58C,S,4237,4251,4244,51540,4326552.7,14742637.5,TZ16,CaCl2,S1K3
TZ58C,S,4237,4251,4244,47110,4326552.7,14742637.5,TZ16,CaCl2,S1K3
TZ58C,S,4237,4251,4244,6452,4326552.7,14742637.5,TZ16,NaSO4,S1K3
TZ58C,S,4237,4251,4244,5840,4326552.7,14742637.5,TZ16,NaSO4,S1K3
TZ58C,S,4237,4251,4244,5889,4326552.7,14742637.5,TZ16,NaSO4,S1K3
TZ62,S,4052.1,4071.1,4061.6,65770,4328665.3,14743497.8,TZ16,CaCl2,S1K1
TZ62,S,4052.88,4073.58,4063.23,43390,4328665.3,14743497.8,TZ16,NaSO4,S1K1
TZ62,S,4052.1,4071.1,4061.6,64050,4328665.3,14743497.8,TZ16,CaCl2,S1K1
TZ62,S,4052.1,4071.1,4061.6,63790,4328665.3,14743497.8,TZ16,CaCl2,S1K1
TZ62,S,4052.88,4073.58,4063.23,40570,4328665.3,14743497.8,TZ16,NaSO4,S1K1
TZ62,S,4052.1,4071.1,4061.6,65570,4328665.3,14743497.8,TZ16,CaCl2,S1K1
TZ67,S,4601.11,4633.83,4617.47,6278,4366794.8,14710793.7,TZ12,NaSO4,S1K3
TZ67,S,4601.11,4633.83,4617.47,3454,4366794.8,14710793.7,TZ12,CaCl2,S1K3
TZ67,S,4601.46,4651.09,4626.275,5996,4366794.8,14710793.7,TZ12,MgCl2,S1K3
TZ69,S+O,4355.62,4391.47,4373.545,24280,4327879.3,14736622.2,TZ12,CaCl2,S1K3
TZ69,S+O,4355.62,4391.47,4373.545,24750,4327879.3,14736622.2,TZ12,CaCl2,S1K3
TZ69,S,4368.5,4377,4372.75,11000,4327879.3,14736622.2,TZ12,CaCl2,S1K3
TZ69,S,4368.5,4377,4372.75,11810,4327879.3,14736622.2,TZ12,CaCl2,S1K3
TZ69,S,4369.5,4377,4373.25,75700,4327879.3,14736622.2,TZ12,CaCl2,S1K3
TZ69,S,4368.5,4377,4372.75,53380,4327879.3,14736622.2,TZ12,CaCl2,S1K3
